dataset,modelId,label,action,outcome,result,entryScore,confidence,grade,risk,distanceAtCommit
Genesis-019,late_catch,Late Catch,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,trend_continuation,Trend Follow,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,4,82,A+,Low,-114.77999999999884
Genesis-019,odds_pressure,Odds Pressure,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,meta_judge,Meta Judge,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,v31_active,V31 Active,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,v32_regime,V32 Regime,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,v33_pro,V33 Pro Trader,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,six_minute_commit,6m Commit,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,late_catch,Late Catch,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,snapback_reversal,Snapback Guard,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,odds_pressure,Odds Pressure,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,meta_judge,Meta Judge,SKIP,UNDER,skipped,56,46,F,Medium,11.589999999996508
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,49,54,D,Low,2.2300000000032014
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,23,79,B+,Low,-58.50999999999476
Genesis-019,v31_active,V31 Active,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,v32_regime,V32 Regime,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,v33_pro,V33 Pro Trader,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,six_minute_commit,6m Commit,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,late_catch,Late Catch,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,23,79,B+,Low,-58.50999999999476
Genesis-019,snapback_reversal,Snapback Guard,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
Genesis-019,odds_pressure,Odds Pressure,UNDER,UNDER,win,23,79,B+,Low,-58.50999999999476
